"유형","시군구","번지","건물명","계약일","거래금액_만원","건물면적_m2","토지면적_m2","토허조서_대조상태","메모"
"단독/다가구","용산구 서계동","","","20251115","129000","142.42","76","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20251124","82000","29.14","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","245-28","(245-28)","20251222","86000","42.62","18","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-42","청운빌라","20251224","64500","57.02","18","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","240-16","(240-16)","20251230","73000","45.81","19","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","252-50","(252-50)","20251230","75000","45.54","18","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","240-30","(240-30)","20260104","76500","49.52","16","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","33-14","현대빌라(33-14)","20260108","85000","38.86","32","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-42","청운빌라","20260109","64500","57.02","18","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-2","수정빌라(246-2)","20260119","71000","40.17","15","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","252-78","(252-78)","20260128","70000","41.77","13","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","96-6","(96-6)","20260131","98000","39.6","29","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20260204","126000","109.08","69","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20260206","88000","29.64","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","261-6","하이츠빌라B동(261-6)","20260211","112000","50.32","26","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20260212","99700","63.34","59","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"단독/다가구","용산구 서계동","","","20260213","115000","19.83","39","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","258-10","(258-10)","20260223","105000","50.55","19","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","252-69","(252-69)","20260224","69000","33.34","12","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","252-56","(252-56)","20260226","79000","36.34","18","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","254-2","(254-2)","20260227","62000","31.79","11","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20260306","82000","29.14","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20260306","82000","29.14","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"단독/다가구","용산구 서계동","","","20260307","92000","23.14","52","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","251-12","(251-12)","20260313","60000","25.03","9","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20260313","82000","29.3","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","251-1","(251-1)","20260314","96700","55.14","22","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","261-5","(261-5)","20260317","90000","57.71","26","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20260317","84600","36.36","82","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","246-7","(246-7)","20260320","110000","57.24","22","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","257-4","(257-4)","20260321","69000","35.3","11","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-24","(246-24)","20260403","93000","47.14","18","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20260407","78500","16.53","39","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","246-38","(246-38)","20260408","65000","34.5","12","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-42","청운빌라","20260409","100000","57.02","18","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-38","(246-38)","20260414","63000","32.82","11","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-38","(246-38)","20260417","54000","26.51","9","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-38","(246-38)","20260420","55000","32.82","11","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-38","(246-38)","20260420","54800","28.19","9","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","242-2","242-2","20260421","45300","25.36","17","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-38","(246-38)","20260422","65000","32.82","11","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","246-38","(246-38)","20260422","55000","28.19","9","조서포함","토지거래허가구역 조서 지번과 일치"
